,date,home_team,away_team,home_score,away_score,home_team_victory,draw,tournament_name,city,country,neutral,scoring_team,scoring_player,minute,own_goal,penalty,shootout_required,first_shooter,winner
2232,1933-06-11,Sweden,Estonia,6,2,True,False,FIFA World Cup qualification,Stockholm,Sweden,False,Sweden,Knut Kroon,7.0,False,False,False,,
2233,1933-06-11,Sweden,Estonia,6,2,True,False,FIFA World Cup qualification,Stockholm,Sweden,False,Sweden,Lennart Bunke,10.0,False,False,False,,
2234,1933-06-11,Sweden,Estonia,6,2,True,False,FIFA World Cup qualification,Stockholm,Sweden,False,Sweden,Bertil Ericsson,13.0,False,False,False,,
2235,1933-06-11,Sweden,Estonia,6,2,True,False,FIFA World Cup qualification,Stockholm,Sweden,False,Sweden,Torsten Bunke,43.0,False,False,False,,
2236,1933-06-11,Sweden,Estonia,6,2,True,False,FIFA World Cup qualification,Stockholm,Sweden,False,Estonia,Leonhard Kass,47.0,False,False,False,,
2237,1933-06-11,Sweden,Estonia,6,2,True,False,FIFA World Cup qualification,Stockholm,Sweden,False,Estonia,Richard Kuremaa,61.0,False,False,False,,
2238,1933-06-11,Sweden,Estonia,6,2,True,False,FIFA World Cup qualification,Stockholm,Sweden,False,Sweden,Bertil Ericsson,70.0,False,False,False,,
2239,1933-06-11,Sweden,Estonia,6,2,True,False,FIFA World Cup qualification,Stockholm,Sweden,False,Sweden,Sven Andersson,79.0,False,False,False,,
2244,1933-06-29,Lithuania,Sweden,0,2,False,False,FIFA World Cup qualification,Kaunas,Lithuania,False,Sweden,Knut Hansson,55.0,False,False,False,,
2245,1933-06-29,Lithuania,Sweden,0,2,False,False,FIFA World Cup qualification,Kaunas,Lithuania,False,Sweden,Knut Hansson,65.0,False,False,False,,
2268,1933-09-24,Yugoslavia,Switzerland,2,2,False,True,FIFA World Cup qualification,Belgrade,Yugoslavia,False,Yugoslavia,Vladimir Kragić,50.0,False,False,False,,
2269,1933-09-24,Yugoslavia,Switzerland,2,2,False,True,FIFA World Cup qualification,Belgrade,Yugoslavia,False,Yugoslavia,Blagoje Marjanović,61.0,False,False,False,,
2270,1933-09-24,Yugoslavia,Switzerland,2,2,False,True,FIFA World Cup qualification,Belgrade,Yugoslavia,False,Switzerland,Alessandro Frigerio,76.0,False,False,False,,
2271,1933-09-24,Yugoslavia,Switzerland,2,2,False,True,FIFA World Cup qualification,Belgrade,Yugoslavia,False,Switzerland,Willy Jäggi,80.0,False,False,False,,
2279,1933-10-15,Poland,Czechoslovakia,1,2,False,False,FIFA World Cup qualification,Warsaw,Poland,False,Czechoslovakia,Josef Silný,33.0,False,False,False,,
2280,1933-10-15,Poland,Czechoslovakia,1,2,False,False,FIFA World Cup qualification,Warsaw,Poland,False,Poland,Henryk Martyna,52.0,False,False,False,,
2281,1933-10-15,Poland,Czechoslovakia,1,2,False,False,FIFA World Cup qualification,Warsaw,Poland,False,Czechoslovakia,František Pelcner,77.0,False,False,False,,
2288,1933-10-29,Switzerland,Romania,2,2,False,True,FIFA World Cup qualification,Berne,Switzerland,False,Romania,Grațian Sepi,18.0,False,False,False,,
2289,1933-10-29,Switzerland,Romania,2,2,False,True,FIFA World Cup qualification,Berne,Switzerland,False,Romania,Ștefan Dobay,67.0,False,False,False,,
2290,1933-10-29,Switzerland,Romania,2,2,False,True,FIFA World Cup qualification,Berne,Switzerland,False,Switzerland,Ernst Hufschmid,75.0,False,False,False,,
2291,1933-10-29,Switzerland,Romania,2,2,False,True,FIFA World Cup qualification,Berne,Switzerland,False,Switzerland,Erwin Hochsträsser,80.0,False,True,False,,
2309,1934-01-28,Haiti,Cuba,1,3,False,False,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Cuba,Mario López,20.0,False,True,False,,
2310,1934-01-28,Haiti,Cuba,1,3,False,False,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Cuba,Héctor Socorro,61.0,False,False,False,,
2311,1934-01-28,Haiti,Cuba,1,3,False,False,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Cuba,Ángel Martínez,64.0,False,False,False,,
2312,1934-01-28,Haiti,Cuba,1,3,False,False,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Haiti,Robert St. Fort,85.0,False,True,False,,
2313,1934-02-01,Haiti,Cuba,1,1,False,True,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Haiti,Robert St. Fort,25.0,False,True,False,,
2314,1934-02-01,Haiti,Cuba,1,1,False,True,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Cuba,Mario López,85.0,False,False,False,,
2316,1934-02-04,Haiti,Cuba,0,6,False,False,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Cuba,Héctor Socorro,5.0,False,False,False,,
2317,1934-02-04,Haiti,Cuba,0,6,False,False,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Cuba,Mario López,18.0,False,False,False,,
2318,1934-02-04,Haiti,Cuba,0,6,False,False,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Cuba,Francisco Socorro,37.0,False,False,False,,
2319,1934-02-04,Haiti,Cuba,0,6,False,False,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Cuba,Enrique Ferrer,62.0,False,False,False,,
2320,1934-02-04,Haiti,Cuba,0,6,False,False,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Cuba,Salvador Soto,78.0,False,False,False,,
2321,1934-02-04,Haiti,Cuba,0,6,False,False,FIFA World Cup qualification,Port-au-Prince,Haiti,False,Cuba,Mario López,86.0,False,False,False,,
2323,1934-02-25,Republic of Ireland,Belgium,4,4,False,True,FIFA World Cup qualification,Dublin,Irish Free State,True,Belgium,Jean Capelle,15.0,False,False,False,,
2324,1934-02-25,Republic of Ireland,Belgium,4,4,False,True,FIFA World Cup qualification,Dublin,Irish Free State,True,Republic of Ireland,Paddy Moore,27.0,False,False,False,,
2325,1934-02-25,Republic of Ireland,Belgium,4,4,False,True,FIFA World Cup qualification,Dublin,Irish Free State,True,Belgium,Stan Vanden Eynde,30.0,False,False,False,,
2326,1934-02-25,Republic of Ireland,Belgium,4,4,False,True,FIFA World Cup qualification,Dublin,Irish Free State,True,Belgium,François Vanden Eynde,47.0,False,False,False,,
2327,1934-02-25,Republic of Ireland,Belgium,4,4,False,True,FIFA World Cup qualification,Dublin,Irish Free State,True,Republic of Ireland,Paddy Moore,48.0,False,False,False,,
2328,1934-02-25,Republic of Ireland,Belgium,4,4,False,True,FIFA World Cup qualification,Dublin,Irish Free State,True,Republic of Ireland,Paddy Moore,56.0,False,False,False,,
2329,1934-02-25,Republic of Ireland,Belgium,4,4,False,True,FIFA World Cup qualification,Dublin,Irish Free State,True,Belgium,François Vanden Eynde,60.0,False,False,False,,
2330,1934-02-25,Republic of Ireland,Belgium,4,4,False,True,FIFA World Cup qualification,Dublin,Irish Free State,True,Republic of Ireland,Paddy Moore,75.0,False,False,False,,
2331,1934-03-04,Mexico,Cuba,3,2,True,False,FIFA World Cup qualification,Mexico City,Mexico,False,Mexico,Dionisio Mejía,12.0,False,False,False,,
2332,1934-03-04,Mexico,Cuba,3,2,True,False,FIFA World Cup qualification,Mexico City,Mexico,False,Mexico,Dionisio Mejía,14.0,False,False,False,,
